sentence,first_noun,verb,second_noun,number
inyoni ithenga indlovu enye,inyoni,ithenga,indlovu,1
inyoni ithenga inkampani enye,inyoni,ithenga,inkampani,1
inyoni ithenga inkukhu enye,inyoni,ithenga,inkukhu,1
inyoni ithenga umlamuleli onye,inyoni,ithenga,umlamuleli,1
inyoni ithenga isidlo esinye,inyoni,ithenga,isidlo,1
inyoni ithenga umfundi we-undergraduate onye,inyoni,ithenga,umfundi we-undergraduate,1
inyoni ithenga ipayipi elinye,inyoni,ithenga,ipayipi,1
inyoni ithenga umfundisi onye,inyoni,ithenga,umfundisi,1
inyoni ithenga ibhodwe elinye,inyoni,ithenga,ibhodwe,1
inyoni ithenga iphalamende elinye,inyoni,ithenga,iphalamende,1
inyoni ithenga iholidi elinye,inyoni,ithenga,iholidi,1
inyoni ithenga indaba enye,inyoni,ithenga,indaba,1
inyoni ithenga ufishi onye,inyoni,ithenga,ufishi,1
inyoni ithenga ithoyizi elinye,inyoni,ithenga,ithoyizi,1
inyoni ithenga umfula onye,inyoni,ithenga,umfula,1
inyoni ithenga ukhilimu oyiqhwa onye,inyoni,ithenga,ukhilimu oyiqhwa,1
inyoni ithenga ibhokisi elinye,inyoni,ithenga,ibhokisi,1
inyoni ithenga isitambu esinye,inyoni,ithenga,isitambu,1
inyoni ithenga umsebenzi onye,inyoni,ithenga,umsebenzi,1
inyoni ithenga umgodi onye,inyoni,ithenga,umgodi,1
inyoni ithenga ihlo elinye,inyoni,ithenga,ihlo,1
inyoni ithenga insimu enye,inyoni,ithenga,insimu,1
inyoni ithenga isifunda esinye,inyoni,ithenga,isifunda,1
inyoni ithenga udonga onye,inyoni,ithenga,udonga,1
inyoni ithenga itiye elinye,inyoni,ithenga,itiye,1
inyoni ithenga ibhodlela elinye,inyoni,ithenga,ibhodlela,1
inyoni ithenga ukhiye onye,inyoni,ithenga,ukhiye,1
inyoni ithenga inkantini enye,inyoni,ithenga,inkantini,1
inyoni ithenga isisu esinye,inyoni,ithenga,isisu,1
inyoni ithenga uphaya onye,inyoni,ithenga,uphaya,1
inyoni ithenga intaba enye,inyoni,ithenga,intaba,1
inyoni ithenga umengammeli onye,inyoni,ithenga,umengammeli,1
inyoni ithenga umhlaba onye,inyoni,ithenga,umhlaba,1
inyoni ithenga ibhanoyi elinye,inyoni,ithenga,ibhanoyi,1
inyoni ithenga incwadi enye,inyoni,ithenga,incwadi,1
inyoni ithenga isitshalo esinye,inyoni,ithenga,isitshalo,1
inyoni ithenga unesi onye,inyoni,ithenga,unesi,1
inyoni ithenga isithwebuli esinye,inyoni,ithenga,isithwebuli,1
inyoni ithenga isilwane esifuyiweyo esinye,inyoni,ithenga,isilwane esifuyiweyo,1
inyoni ithenga igumbi elinye,inyoni,ithenga,igumbi,1
inyoni ithenga iwindi elinye,inyoni,ithenga,iwindi,1
inyoni ithenga ulwandle olunye,inyoni,ithenga,ulwandle,1
inyoni ithenga ummeli onye,inyoni,ithenga,ummeli,1
inyoni ithenga umphakathi onye,inyoni,ithenga,umphakathi,1
inyoni ithenga ikomidi elinye,inyoni,ithenga,ikomidi,1
inyoni ithenga indlwana enye,inyoni,ithenga,indlwana,1
inyoni ithenga iphilisi elinye,inyoni,ithenga,iphilisi,1
inyoni ithenga uhlaza olunye,inyoni,ithenga,uhlaza,1
inyoni ithenga imoto enye,inyoni,ithenga,imoto,1
ibhishi lithenga imali enye,ibhishi,lithenga,imali,1
ibhishi lithenga ijikijolo elinye,ibhishi,lithenga,ijikijolo,1
ibhishi lithenga inyoni enye,ibhishi,lithenga,inyoni,1
ibhishi lithenga ibhishi elinye,ibhishi,lithenga,ibhishi,1
ibhishi lithenga izwe elinye,ibhishi,lithenga,izwe,1
ibhishi lithenga isakhiwo esinye,ibhishi,lithenga,isakhiwo,1
ibhishi lithenga umnini onye,ibhishi,lithenga,umnini,1
ibhishi lithenga unyawo olunye,ibhishi,lithenga,unyawo,1
ibhishi lithenga izambane elinye,ibhishi,lithenga,izambane,1
ibhishi lithenga iNkosi enye,ibhishi,lithenga,iNkosi,1
ibhishi lithenga ibhola elinye,ibhishi,lithenga,ibhola,1
ibhishi lithenga umzila onye,ibhishi,lithenga,umzila,1
ibhishi lithenga isicathulo esinye,ibhishi,lithenga,isicathulo,1
ibhishi lithenga ihholitshi elinye,ibhishi,lithenga,ihholitshi,1
ibhishi lithenga isihlahla esinye,ibhishi,lithenga,isihlahla,1
ibhishi lithenga ihhotela elinye,ibhishi,lithenga,ihhotela,1
ibhishi lithenga ihebhivo elinye,ibhishi,lithenga,ihebhivo,1
ibhishi lithenga umuthi onye,ibhishi,lithenga,umuthi,1
ibhishi lithenga igilebhisi elinye,ibhishi,lithenga,igilebhisi,1
ibhishi lithenga isikukhukhula esinye,ibhishi,lithenga,isikukhukhula,1
ibhishi lithenga inyuvesi enye,ibhishi,lithenga,inyuvesi,1
ibhishi lithenga inja enye,ibhishi,lithenga,inja,1
ibhishi lithenga iphoyisa elinye,ibhishi,lithenga,iphoyisa,1
ibhishi lithenga umkhandlu onye,ibhishi,lithenga,umkhandlu,1
ibhishi lithenga iwayini elinye,ibhishi,lithenga,iwayini,1
ibhishi lithenga uphawu olunye,ibhishi,lithenga,uphawu,1
ibhishi lithenga indawo yokubhukuda enye,ibhishi,lithenga,indawo yokubhukuda,1
ibhishi lithenga ikhompyutha elinye,ibhishi,lithenga,ikhompyutha,1
ibhishi lithenga isikhulumi esinye,ibhishi,lithenga,isikhulumi,1
ibhishi lithenga inyama enye,ibhishi,lithenga,inyama,1
ibhishi lithenga udokotela onye,ibhishi,lithenga,udokotela,1
ibhishi lithenga indlovu enye,ibhishi,lithenga,indlovu,1
ibhishi lithenga inkampani enye,ibhishi,lithenga,inkampani,1
ibhishi lithenga inkukhu enye,ibhishi,lithenga,inkukhu,1
ibhishi lithenga umlamuleli onye,ibhishi,lithenga,umlamuleli,1
ibhishi lithenga isidlo esinye,ibhishi,lithenga,isidlo,1
ibhishi lithenga umfundi we-undergraduate onye,ibhishi,lithenga,umfundi we-undergraduate,1
ibhishi lithenga ipayipi elinye,ibhishi,lithenga,ipayipi,1
ibhishi lithenga umfundisi onye,ibhishi,lithenga,umfundisi,1
ibhishi lithenga ibhodwe elinye,ibhishi,lithenga,ibhodwe,1
ibhishi lithenga iphalamende elinye,ibhishi,lithenga,iphalamende,1
ibhishi lithenga iholidi elinye,ibhishi,lithenga,iholidi,1
ibhishi lithenga indaba enye,ibhishi,lithenga,indaba,1
ibhishi lithenga ufishi onye,ibhishi,lithenga,ufishi,1
ibhishi lithenga ithoyizi elinye,ibhishi,lithenga,ithoyizi,1
ibhishi lithenga umfula onye,ibhishi,lithenga,umfula,1
ibhishi lithenga ukhilimu oyiqhwa onye,ibhishi,lithenga,ukhilimu oyiqhwa,1
ibhishi lithenga ibhokisi elinye,ibhishi,lithenga,ibhokisi,1
ibhishi lithenga isitambu esinye,ibhishi,lithenga,isitambu,1
ibhishi lithenga umsebenzi onye,ibhishi,lithenga,umsebenzi,1
ibhishi lithenga umgodi onye,ibhishi,lithenga,umgodi,1
ibhishi lithenga ihlo elinye,ibhishi,lithenga,ihlo,1
ibhishi lithenga insimu enye,ibhishi,lithenga,insimu,1
ibhishi lithenga isifunda esinye,ibhishi,lithenga,isifunda,1
ibhishi lithenga udonga onye,ibhishi,lithenga,udonga,1
ibhishi lithenga itiye elinye,ibhishi,lithenga,itiye,1
ibhishi lithenga ibhodlela elinye,ibhishi,lithenga,ibhodlela,1
ibhishi lithenga ukhiye onye,ibhishi,lithenga,ukhiye,1
ibhishi lithenga inkantini enye,ibhishi,lithenga,inkantini,1
ibhishi lithenga isisu esinye,ibhishi,lithenga,isisu,1
ibhishi lithenga uphaya onye,ibhishi,lithenga,uphaya,1
ibhishi lithenga intaba enye,ibhishi,lithenga,intaba,1
ibhishi lithenga umengammeli onye,ibhishi,lithenga,umengammeli,1
ibhishi lithenga umhlaba onye,ibhishi,lithenga,umhlaba,1
ibhishi lithenga ibhanoyi elinye,ibhishi,lithenga,ibhanoyi,1
ibhishi lithenga incwadi enye,ibhishi,lithenga,incwadi,1
ibhishi lithenga isitshalo esinye,ibhishi,lithenga,isitshalo,1
ibhishi lithenga unesi onye,ibhishi,lithenga,unesi,1
ibhishi lithenga isithwebuli esinye,ibhishi,lithenga,isithwebuli,1
ibhishi lithenga isilwane esifuyiweyo esinye,ibhishi,lithenga,isilwane esifuyiweyo,1
ibhishi lithenga igumbi elinye,ibhishi,lithenga,igumbi,1
ibhishi lithenga iwindi elinye,ibhishi,lithenga,iwindi,1
ibhishi lithenga ulwandle olunye,ibhishi,lithenga,ulwandle,1
ibhishi lithenga ummeli onye,ibhishi,lithenga,ummeli,1
ibhishi lithenga umphakathi onye,ibhishi,lithenga,umphakathi,1
ibhishi lithenga ikomidi elinye,ibhishi,lithenga,ikomidi,1
ibhishi lithenga indlwana enye,ibhishi,lithenga,indlwana,1
ibhishi lithenga iphilisi elinye,ibhishi,lithenga,iphilisi,1
ibhishi lithenga uhlaza olunye,ibhishi,lithenga,uhlaza,1
ibhishi lithenga imoto enye,ibhishi,lithenga,imoto,1
izwe lithenga imali enye,izwe,lithenga,imali,1
izwe lithenga ijikijolo elinye,izwe,lithenga,ijikijolo,1
izwe lithenga inyoni enye,izwe,lithenga,inyoni,1
izwe lithenga ibhishi elinye,izwe,lithenga,ibhishi,1
izwe lithenga izwe elinye,izwe,lithenga,izwe,1
izwe lithenga isakhiwo esinye,izwe,lithenga,isakhiwo,1
izwe lithenga umnini onye,izwe,lithenga,umnini,1
izwe lithenga unyawo olunye,izwe,lithenga,unyawo,1
izwe lithenga izambane elinye,izwe,lithenga,izambane,1
izwe lithenga iNkosi enye,izwe,lithenga,iNkosi,1
izwe lithenga ibhola elinye,izwe,lithenga,ibhola,1
izwe lithenga umzila onye,izwe,lithenga,umzila,1
izwe lithenga isicathulo esinye,izwe,lithenga,isicathulo,1
izwe lithenga ihholitshi elinye,izwe,lithenga,ihholitshi,1
izwe lithenga isihlahla esinye,izwe,lithenga,isihlahla,1
izwe lithenga ihhotela elinye,izwe,lithenga,ihhotela,1
izwe lithenga ihebhivo elinye,izwe,lithenga,ihebhivo,1
izwe lithenga umuthi onye,izwe,lithenga,umuthi,1
izwe lithenga igilebhisi elinye,izwe,lithenga,igilebhisi,1
izwe lithenga isikukhukhula esinye,izwe,lithenga,isikukhukhula,1
izwe lithenga inyuvesi enye,izwe,lithenga,inyuvesi,1
izwe lithenga inja enye,izwe,lithenga,inja,1
izwe lithenga iphoyisa elinye,izwe,lithenga,iphoyisa,1
izwe lithenga umkhandlu onye,izwe,lithenga,umkhandlu,1
izwe lithenga iwayini elinye,izwe,lithenga,iwayini,1
izwe lithenga uphawu olunye,izwe,lithenga,uphawu,1
izwe lithenga indawo yokubhukuda enye,izwe,lithenga,indawo yokubhukuda,1
izwe lithenga ikhompyutha elinye,izwe,lithenga,ikhompyutha,1
izwe lithenga isikhulumi esinye,izwe,lithenga,isikhulumi,1
izwe lithenga inyama enye,izwe,lithenga,inyama,1
izwe lithenga udokotela onye,izwe,lithenga,udokotela,1
izwe lithenga indlovu enye,izwe,lithenga,indlovu,1
izwe lithenga inkampani enye,izwe,lithenga,inkampani,1
izwe lithenga inkukhu enye,izwe,lithenga,inkukhu,1
izwe lithenga umlamuleli onye,izwe,lithenga,umlamuleli,1
izwe lithenga isidlo esinye,izwe,lithenga,isidlo,1
izwe lithenga umfundi we-undergraduate onye,izwe,lithenga,umfundi we-undergraduate,1
izwe lithenga ipayipi elinye,izwe,lithenga,ipayipi,1
izwe lithenga umfundisi onye,izwe,lithenga,umfundisi,1
izwe lithenga ibhodwe elinye,izwe,lithenga,ibhodwe,1
izwe lithenga iphalamende elinye,izwe,lithenga,iphalamende,1
izwe lithenga iholidi elinye,izwe,lithenga,iholidi,1
izwe lithenga indaba enye,izwe,lithenga,indaba,1
izwe lithenga ufishi onye,izwe,lithenga,ufishi,1
izwe lithenga ithoyizi elinye,izwe,lithenga,ithoyizi,1
izwe lithenga umfula onye,izwe,lithenga,umfula,1
izwe lithenga ukhilimu oyiqhwa onye,izwe,lithenga,ukhilimu oyiqhwa,1
izwe lithenga ibhokisi elinye,izwe,lithenga,ibhokisi,1
izwe lithenga isitambu esinye,izwe,lithenga,isitambu,1
izwe lithenga umsebenzi onye,izwe,lithenga,umsebenzi,1
izwe lithenga umgodi onye,izwe,lithenga,umgodi,1
izwe lithenga ihlo elinye,izwe,lithenga,ihlo,1
izwe lithenga insimu enye,izwe,lithenga,insimu,1
izwe lithenga isifunda esinye,izwe,lithenga,isifunda,1
izwe lithenga udonga onye,izwe,lithenga,udonga,1
izwe lithenga itiye elinye,izwe,lithenga,itiye,1
izwe lithenga ibhodlela elinye,izwe,lithenga,ibhodlela,1
izwe lithenga ukhiye onye,izwe,lithenga,ukhiye,1
izwe lithenga inkantini enye,izwe,lithenga,inkantini,1
izwe lithenga isisu esinye,izwe,lithenga,isisu,1
izwe lithenga uphaya onye,izwe,lithenga,uphaya,1
izwe lithenga intaba enye,izwe,lithenga,intaba,1
izwe lithenga umengammeli onye,izwe,lithenga,umengammeli,1
izwe lithenga umhlaba onye,izwe,lithenga,umhlaba,1
izwe lithenga ibhanoyi elinye,izwe,lithenga,ibhanoyi,1
izwe lithenga incwadi enye,izwe,lithenga,incwadi,1
izwe lithenga isitshalo esinye,izwe,lithenga,isitshalo,1
izwe lithenga unesi onye,izwe,lithenga,unesi,1
izwe lithenga isithwebuli esinye,izwe,lithenga,isithwebuli,1
izwe lithenga isilwane esifuyiweyo esinye,izwe,lithenga,isilwane esifuyiweyo,1
izwe lithenga igumbi elinye,izwe,lithenga,igumbi,1
izwe lithenga iwindi elinye,izwe,lithenga,iwindi,1
izwe lithenga ulwandle olunye,izwe,lithenga,ulwandle,1
izwe lithenga ummeli onye,izwe,lithenga,ummeli,1
izwe lithenga umphakathi onye,izwe,lithenga,umphakathi,1
izwe lithenga ikomidi elinye,izwe,lithenga,ikomidi,1
izwe lithenga indlwana enye,izwe,lithenga,indlwana,1
izwe lithenga iphilisi elinye,izwe,lithenga,iphilisi,1
izwe lithenga uhlaza olunye,izwe,lithenga,uhlaza,1
izwe lithenga imoto enye,izwe,lithenga,imoto,1
isakhiwo sithenga imali enye,isakhiwo,sithenga,imali,1
isakhiwo sithenga ijikijolo elinye,isakhiwo,sithenga,ijikijolo,1
isakhiwo sithenga inyoni enye,isakhiwo,sithenga,inyoni,1
isakhiwo sithenga ibhishi elinye,isakhiwo,sithenga,ibhishi,1
isakhiwo sithenga izwe elinye,isakhiwo,sithenga,izwe,1
isakhiwo sithenga isakhiwo esinye,isakhiwo,sithenga,isakhiwo,1
